"articleDate","articleName","articleSource","articleLink"
"2018-06-13","【媒體報導】雄木瓜竟然會長果？ 專家：雌雄同株的水果","聯合報","https://www2.nchu.edu.tw/news-detail/id/43418"
"2018-06-13","【媒體報導】上銀與中興大學合推保鮮荔枝 首批外銷日本","經濟日報","https://www2.nchu.edu.tw/news-detail/id/43388"
"2018-06-13","【學生投稿】台灣青年看AIT新館落成","自由時報","https://www2.nchu.edu.tw/news-detail/id/43414"
"2018-06-12","【學者評論】夏日電力走鋼索 運用新科技配電","聯合報","https://www2.nchu.edu.tw/news-detail/id/43392"
"2018-06-12","【公關組】興大企管系畢業生劉松旺 迷途知返的孩子王","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43385"
"2018-06-11","【媒體報導】台中荔枝外銷日本 蔡總統：努力為全台農產開拓全球市場","自由時報","https://www2.nchu.edu.tw/news-detail/id/43384"
"2018-06-11","【公關組】興大舉辦資訊圖像化實務工作坊 上百圖資人員參與","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43383"
"2018-06-11","【公關組】詩人與生命科學的對話  鄭愁予興大開講","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43379"
"2018-06-11","【媒體報導】循環經濟 永續農業論壇 產官學腦力激盪","大台中新聞","https://www2.nchu.edu.tw/news-detail/id/43382"
"2018-06-11","【媒體報導】學者：塑膠材質遊具 最不推薦","聯合報","https://www2.nchu.edu.tw/news-detail/id/43377"
"2018-06-08","【媒體報導】科技部推國際產學聯盟　打造最新AI科技運用","中國時報","https://www2.nchu.edu.tw/news-detail/id/43371"
"2018-06-08","【媒體報導】紅樹林吸碳能力超強 興大揭秘","聯合報","https://www2.nchu.edu.tw/news-detail/id/43301"
"2018-06-08","【公關組】興大辦國際論壇 探討循環經濟與永續農業","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43370"
"2018-06-08","【媒體報導】蔬果盛產新解方 中興大學新技術延長保存","聯合報","https://www2.nchu.edu.tw/news-detail/id/43366"
"2018-06-06"," 【公關組】興大法政學院教學創新 世界咖啡館鼓勵思辯","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43348"
"2018-06-05","【公關組】興大斯里蘭卡文化日  與佩拉德尼亞大學簽署合作","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43305"
"2018-06-04","【媒體報導】住在森林裡！新化林場98歲生日全新會館啟用","聯合報","https://www2.nchu.edu.tw/news-detail/id/43325"
"2018-06-04","【媒體報導】密集恐懼症勿看　上萬台灣家白蟻進攻超市","蘋果日報","https://www2.nchu.edu.tw/news-detail/id/43331"
"2018-06-04","【媒體報導】全國科展在台中 感受科學工業奧秘","中央社","https://www2.nchu.edu.tw/news-detail/id/43330"
"2018-06-04","【媒體報導】營養午餐三部曲：吃得到、吃得好與吃得讚","聯合報","https://www2.nchu.edu.tw/news-detail/id/43329"
"2018-06-04","【媒體報導】帶動台灣成為全球AI研發創新基地 國研院晶片中心攜手Synopsys合作","HiNet新聞","https://www2.nchu.edu.tw/news-detail/id/43327"
"2018-06-04","【媒體報導】台灣原生種黃色杜鵑花　實生苗復育成功","中國時報","https://www2.nchu.edu.tw/news-detail/id/43326"
"2018-05-30","【公關組】興大生科系揭開紅樹林儲存藍碳之秘","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43294"
"2018-05-30","【公關組】興大農業政策中心網頁興氣象 與大眾更貼近","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43287"
"2018-05-30","【媒體報導】鳥巢影響鳥類演化 女大生研究登上國際期刊","自由時報","https://www2.nchu.edu.tw/news-detail/id/43280"
"2018-05-28","【媒體報導】台灣人 好訟濫訴嗎","蘋果日報","https://www2.nchu.edu.tw/news-detail/id/43278"
"2018-05-25","【媒體報導】阿勃勒盛開如「黃金瀑布」 復古日式宿舍更溫柔","聯合報","https://www2.nchu.edu.tw/news-detail/id/43274"
"2018-05-25","【媒體報導】興大與外貿協會攜手培育會展人才 增進跨域能力","大成報","https://www2.nchu.edu.tw/news-detail/id/43275"
"2018-05-25","【公關組】顏聖哲彩墨畫展 5/24興大藝術中心開幕","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43258"
"2018-05-23","【公關組】興大水保系洪啟耀 榮獲科技部愛因斯坦培植計畫","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43252"
"2018-05-23","【公關組】惠蓀林場春遊優惠 指定房型住宿8折","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43255"
"2018-05-23","【公關組】興大應經系《應經週xThousandSmile》活動開跑","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43254"
"2018-05-23","【公關組】第13屆正興城灣盃落幕 興大獲精神總錦標","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43247"
"2018-05-22","【公關組】興大與外貿協會攜手培育會展人才 增進跨域能力","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43246"
"2018-05-21","【媒體報導】農二代接棒 理論、實務並重","中國時報","https://www2.nchu.edu.tw/news-detail/id/43235"
"2018-05-21","【媒體報導】興大舉辦正興城灣盃校際競賽     龍舟拔河5/19、5/20熱鬧登場 ","大成報","https://www2.nchu.edu.tw/news-detail/id/43234"
"2018-05-19","【公關組】龍舟拔河熱鬧登場 興大舉辦正興城灣盃校際競賽","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43232"
"2018-05-16","【公關組】慕名臺灣水產技術 泰國學生馮凌彬攻讀興大獸醫博士","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43208"
"2018-05-16","【媒體報導】長照ALL PASS！醫院在大學設長照生活館 助民眾就近認識長照資源","自由時報","https://www2.nchu.edu.tw/news-detail/id/43202"
"2018-05-16","【公關組】興大、大里仁愛醫院合作 長照All PASS揭牌","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43196"
"2018-05-15","【公關組】興大植病展 介紹生活常見植物病害","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43193"
"2018-05-11","【媒體報導】台灣科技新農業產業論壇推動新農業4.0","經濟日報","https://www2.nchu.edu.tw/news-detail/id/43156"
"2018-05-11","【公關組】興大三校結盟屏東農業生技園區 推動新農業4.0","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43171"
"2018-05-11","【媒體報導】深澳環差通過！PM2.5+重金屬　全身受影響","TVBS NEWS","https://www2.nchu.edu.tw/news-detail/id/43168"
"2018-05-10","【媒體報導】超萌！領角鴞樹洞育鶵影片曝光 模樣可愛","聯合報","https://www2.nchu.edu.tw/news-detail/id/43159"
"2018-05-10","【媒體報導】中興大學、台電攜手 AI智慧發展再生能源","中國時報","https://www2.nchu.edu.tw/news-detail/id/43155"
"2018-05-09","【公關組】能源安全與永續發展如何兼顧？法政學院教學創新課程的走讀經驗","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43150"
"2018-05-09","【公關組】AI無人機在農業與綠能產業之應用論壇 5/9興大登場","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43149"
"2018-05-08","【媒體報導】賀！揚威世界圍棋業餘賽　台灣棋士詹宜典奪冠　","蘋果日報","https://www2.nchu.edu.tw/news-detail/id/43138"
"2018-05-07","【媒體報導】慶賀母親節 興大系友捐血傳遞溫暖","中央社","https://www2.nchu.edu.tw/news-detail/id/43129"
"2018-05-07","【媒體報導】60幼童叫賣蔬菜！ 興大農夫市集飄萌味","自由時報","https://www2.nchu.edu.tw/news-detail/id/43128"
"2018-05-05","【公關組】捐血做公益 興大企管系號召捐血150袋","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43127"
"2018-05-05","【公關組】食農體驗  大智附幼60童興大有機農夫市集賣菜","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43126"
"2018-05-04","【公關組】興大創發競賽成果豐 得獎團隊經驗交流","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43122"
"2018-05-04","【學者評論】焦點評論：從貿易來看 斷交其實挺好","蘋果日報","https://www2.nchu.edu.tw/news-detail/id/43118"
"2018-05-04","【媒體報導】台灣之光！興大校友傅嫈惠 當選美國國家科學院院士","自由時報","https://www2.nchu.edu.tw/news-detail/id/43116"
"2018-05-04","【媒體報導】廈大訪問團拜會中興大學　蔡東杰接待座談","中評社","https://www2.nchu.edu.tw/news-detail/id/43117"
"2018-05-03","【媒體報導】中興大學生科院與童綜合醫院合作 童興醫學研究發展中心揭牌","大成報","https://www2.nchu.edu.tw/news-detail/id/43112"
"2018-05-03","【媒體報導】中台灣微創醫材與智慧輔具聯盟平台今日成立","工商時報","https://www2.nchu.edu.tw/news-detail/id/43110"
"2018-05-03","【公關組】興大校友傅嫈惠 榮獲美國國家科學院院士","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43106"
"2018-05-03","【公關組】談智慧農業 源鮮董事長蔡文清興大開講","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43097"
"2018-05-02","【公關組】興大森林週開展 探討臺灣木材自給率","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43090"
"2018-05-01","【公關組】興大進修培訓 設計師跨域開咖啡輕食館","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43089"
"2018-05-01","【媒體報導】挑戰戈壁 興大EMBA戈13遠征玄奘之路","經濟日報","https://www2.nchu.edu.tw/news-detail/id/43087"
"2018-05-01","【公關組】捷克UTIA訪興大 共同開發數據分析軟體","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43083"
"2018-05-01","【公關組】興大生科院與童綜合醫院合作 「童興醫學研發中心」揭牌","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43086"
"2018-04-30","【媒體報導】兩韓會談　大學教授上課直播解析國際局勢","TVBS","https://www2.nchu.edu.tw/news-detail/id/43077"
"2018-04-30","【媒體報導】微軟盃奪冠團隊聚焦復健 台生秀AI實力","中央社","https://www2.nchu.edu.tw/news-detail/id/43068"
"2018-04-30","【媒體報導】全大運》中興大學朱宸平一日兩破全國 百米蝶泳三連霸並達亞運標","麗台運動報","https://www2.nchu.edu.tw/news-detail/id/43066"
"2018-04-27","【公關組】直播兩韓會談 興大國政所關注國際情勢","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43062"
"2018-04-27","【媒體報導】科技部招募廠商加入產學小聯盟","經濟日報","https://www2.nchu.edu.tw/news-detail/id/43054"
"2018-04-26","【公關組】「綺麗南投‧藝采飛揚」巡迴展  興大開幕","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/43042"
"2018-04-25","【媒體報導】食品法研討會 蔡其昌與陳時中關心食安","中央社","https://www2.nchu.edu.tw/news-detail/id/43005"
"2018-04-23","【媒體報導】《謠言終結站》被蟲咬過的菜 不等於沒農藥","自由時報","https://www2.nchu.edu.tw/news-detail/id/43008"
"2018-04-23","【媒體報導】楊三億：大國爭奪戰中 台灣的生存之道","蘋果日報","https://www2.nchu.edu.tw/news-detail/id/43011"
"2018-04-23","【媒體報導】台中市中小學科學園遊會 有「重量級」代言人","自由時報","https://www2.nchu.edu.tw/news-detail/id/43009"
"2018-04-23","【媒體報導】新化賞螢開跑 梅嶺周六接力","聯合報","https://www2.nchu.edu.tw/news-detail/id/42965"
"2018-04-20","【學者評論】蔡東杰》兩韓終戰大逆轉 兩岸呢","中國時報","https://www2.nchu.edu.tw/news-detail/id/42996"
"2018-04-20","【公關組】春風氣爽螢光閃閃 新化林場開放賞螢","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/42998"
"2018-04-16","【媒體報導】中部空氣品質轉好 學者：空污季將結束","中央社","https://www2.nchu.edu.tw/news-detail/id/42962"
"2018-04-13","【公關組】水五金產業創新應用發想競賽 興大登場","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/42947"
"2018-04-13","【公關組】興大舉辦暑期實習暨國際人才就業博覽會","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/42944"
"2018-04-13","【公關組】高教深耕南向有成 興大師培生赴馬國見習","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/42941"
"2018-04-12","【公關組】興大國際處前進馬來西亞 參與2018台灣升學教育展","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/42938"
"2018-04-11","【公關組】興大師生赴西南大學學術交流","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/42929"
"2018-04-11","【媒體報導】興大植物教學醫院開幕 作物生病可看診","中央社","https://www2.nchu.edu.tw/news-detail/id/42926"
"2018-04-10","【公關組】臺灣第一部完整紀錄土壤的科普影片「土壤的身世」誕生","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/42921"
"2018-04-10","【公關組】全台首座植物教學醫院 4/10興大開幕","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/42918"
"2018-04-09","【媒體報導】楠西梅嶺、南化關山、新化林場 台南3大螢區將大爆發","聯合報","https://www2.nchu.edu.tw/news-detail/id/42905"
"2018-04-09","【媒體報導】豬隻不用由獸醫簽證健康證明 雞鴨鵝呢？","聯合報","https://www2.nchu.edu.tw/news-detail/id/42909"
"2018-04-09","【媒體報導】台西空氣品質褐爆 環團質疑有人為因素","中央社","https://www2.nchu.edu.tw/news-detail/id/42907"
"2018-04-09","【媒體報導】開創生醫新藍海！ 興大與童綜合醫院合作出擊","HiNet新聞","https://www2.nchu.edu.tw/news-detail/id/42906"
"2018-04-02","【媒體報導】大學社團評鑑「愛地球」減少紙張審查","中國時報","https://www2.nchu.edu.tw/news-detail/id/42888"
"2018-04-02","【媒體報導】興大把廢木點成金 3小時變出「台中肥」","聯合報","https://www2.nchu.edu.tw/news-detail/id/42883"
"2018-04-02","【媒體報導】興大湖畔音樂季 校園創作歌手尬歌","中國時報","https://www2.nchu.edu.tw/news-detail/id/42882"
"2018-04-02","【媒體報導】春天裡的秋意 中興大學270萬棵桃花木落葉秀超迷人","聯合報","https://www2.nchu.edu.tw/news-detail/id/42881"
"2018-03-31","【公關組】教育部107年學生社團評選在興大  263社團同較勁","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/42879"
"2018-03-30","【學者評論】自由廣場》有機農業土壤重金屬標準 不宜放寬","自由時報","https://www2.nchu.edu.tw/news-detail/id/42843"
"2018-03-30","【公關組】興大湖畔音樂季  46組創作歌手開唱","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/42854"
"2018-03-30","【媒體報導】興大與童綜合醫院簽署合作 攜手生醫研發","大成報","https://www2.nchu.edu.tw/news-detail/id/42853"
"2018-03-30","【媒體報導】台灣高教新南向 雙聯學位接軌東協","中央社","https://www2.nchu.edu.tw/news-detail/id/42852"
"2018-03-29","【媒體報導】農藥審議「一進一出」？學者批：破壞制度太不專業","聯合報","https://www2.nchu.edu.tw/news-detail/id/42844"
"2018-03-29","【媒體報導】推技職達人夢 明台興大攜手教育結盟","大紀元","https://www2.nchu.edu.tw/news-detail/id/42842"
"2018-03-29","【媒體報導】聚焦新農業 中興大學成立國際產學聯盟","中央廣播電台","https://www2.nchu.edu.tw/news-detail/id/42803"
"2018-03-29","【公關組】興大與童綜合醫院簽署合作 攜手生醫研發","null","https://www2.nchu.edu.tw/news-detail/id/42840"
"2018-03-29","【學者評論】蔡東杰》新保守主義陰影下的美國","中國時報","https://www2.nchu.edu.tw/news-detail/id/42838"
"2018-03-27","【媒體報導】興大與美國愛荷華州立大學獸醫學院合作 簽定跨國雙聯學位","自由時報","https://www2.nchu.edu.tw/news-detail/id/42824"
"2018-03-26","【公關組】領先全台 興大與世界名校簽署獸醫雙聯學位","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/42806"
"2018-03-26","【媒體報導】大立光等電子大廠徵才　平均起薪3.2萬搶大學生","蘋果日報","https://www2.nchu.edu.tw/news-detail/id/42805"
"2018-03-26","【媒體報導】春分，愛樹的季節—— 台灣老樹救援協會如何保護樹？","大紀元","https://www2.nchu.edu.tw/news-detail/id/42804"
"2018-03-24","興大、市府就業博覽會  7大熱門產業釋7000職缺","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/42800"
"2018-03-23","【媒體報導】台中就博會釋7千職缺 喊加薪覓人才","中央社","https://www2.nchu.edu.tw/news-detail/id/42782"
"2018-03-22","【媒體報導】歐盟跨國培訓認證 明台、興大合作推CFIQ課","聯合報","https://www2.nchu.edu.tw/news-detail/id/42784"
"2018-03-22","【媒體報導】禽流感無疫苗 非法血清還可能染病","自由時報","https://www2.nchu.edu.tw/news-detail/id/42783"
"2018-03-21","【公關組】興大藝術季  22場藝文活動熱鬧登場","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/42750"
"2018-03-19","【媒體報導】環團：燃煤不是乾淨能源 不能「比爛」","聯合報","https://www2.nchu.edu.tw/news-detail/id/42762"
"2018-03-19","【學者評論】川普半島牌為何換台灣牌","中國時報","https://www2.nchu.edu.tw/news-detail/id/42761"
"2018-03-16","【媒體報導】中火興建2座天然氣機組取代燃煤 莊秉潔臉書籲各界支持","中國時報","https://www2.nchu.edu.tw/news-detail/id/42746"
"2018-03-15","【媒體報導】聚焦新農業 興大國際產學聯盟揭牌","中央社","https://www2.nchu.edu.tw/news-detail/id/42736"
"2018-03-15","【媒體報導】深澳燃煤電廠建廠污染值 新北研究是台電3倍","自由時報","https://www2.nchu.edu.tw/news-detail/id/42740"
"2018-03-15","【媒體報導】滅蚊有技巧的！台南市回訓強化登革熱噴藥技術","自由時報","https://www2.nchu.edu.tw/news-detail/id/42739"
"2018-03-15","【媒體報導】〈中部〉又一石虎疑遭路殺 中市府：加速立法保育","自由時報","https://www2.nchu.edu.tw/news-detail/id/42737"
"2018-03-14","【公關組】聚焦新農業 興大國際產學聯盟揭牌","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/42717"
"2018-03-14","【媒體報導】興大團隊揭秋海棠「虹光」奧密","青年日報","https://www2.nchu.edu.tw/news-detail/id/42715"
"2018-03-14","【學生投稿】《青年時評》「314反侵略日」大演習的建議","自由時報","https://www2.nchu.edu.tw/news-detail/id/42714"
"2018-03-14","【媒體報導】西部空污紅害明起3天接力　先中部再輪北、南部","蘋果日報","https://www2.nchu.edu.tw/news-detail/id/42713"
"2018-03-14","【媒體報導】新北模擬深澳電廠空汙 宜蘭桃園最嚴重","中央社","https://www2.nchu.edu.tw/news-detail/id/42707"
"2018-03-14","【媒體報導】國際救難協會進駐 霧峰光復新村INGO中心揭牌","自由時報","https://www2.nchu.edu.tw/news-detail/id/42699"
"2018-03-14","【媒體報導】中市擬推寵物旅遊手冊及友善公車","自由時報","https://www2.nchu.edu.tw/news-detail/id/42700"
"2018-03-13","【媒體報導】興大園道種台灣梭羅木 將成「新行道樹」","自由時報","https://www2.nchu.edu.tw/news-detail/id/42693"
"2018-03-13","【公關組】興大團隊揭開秋海棠葉片虹光色彩的奧密","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/42698"
"2018-03-12","【公關組】興大與中市消防局簽署合作 守護搜救犬健康","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/42689"
"2018-03-12","【媒體報導】海洋進行式莊明中創作展 中興大學展出","中央社","https://www2.nchu.edu.tw/news-detail/id/42683"
"2018-03-12","【學者評論】蔡東杰》半島春燕啣來橄欖枝","中國時報","https://www2.nchu.edu.tw/news-detail/id/42686"
"2018-03-12","【媒體報導】談砍樹被說是「劊子手」 學者：我不會比大家不愛樹","聯合報","https://www2.nchu.edu.tw/news-detail/id/42684"
"2018-03-09","【媒體報導】台灣翻轉教育南向馬國 興大將辦教師工作坊","中央廣播電台","https://www2.nchu.edu.tw/news-detail/id/42673"
"2018-03-09","【公關組】興大與臺中地院簽署合作 提供學生實習機會","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/42668"
"2018-03-09","【公關組】海洋・進行式-莊明中2018創作展 3/8興大開幕","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/42671"
"2018-03-09","【媒體報導】興大和台中地方法院簽署合作 提供學生實習機會","國立教育廣播電臺","https://www2.nchu.edu.tw/news-detail/id/42677"
"2018-03-09","【媒體報導】打造台中成友善動物城市　產官學齊聚一堂","臺灣好新聞","https://www2.nchu.edu.tw/news-detail/id/42679"
"2018-03-08","【媒體報導】國美館周邊黑板樹全砍！學者：先種樹再移除比較好","聯合報","https://www2.nchu.edu.tw/news-detail/id/42663"
"2018-03-08","【媒體報導】興大「農獲新生」跨國學生團隊 獲教育部創業基金","聯合報","https://www2.nchu.edu.tw/news-detail/id/42665"
"2018-03-08","【媒體報導】台灣是詐騙共和國嗎","蘋果日報","https://www2.nchu.edu.tw/news-detail/id/42666"
"2018-03-07","【公關組】興大新創團隊 開發微奈米植物保護製劑","秘書室媒體公關組","https://www2.nchu.edu.tw/news-detail/id/42655"
"2018-03-06","【媒體報導】東沙島小蘆蜂春季散花粉 昆蟲約7百種","自由時報","https://www2.nchu.edu.tw/news-detail/id/42648"
